;video_id;title;channel_title;category_id;publish_time;thumbnail_link;video_error_or_removed;description
1092;erBJuxVR7IE;Health lies in healthy circadian habits | Satchin Panda | TEDxBeaconStreet;TEDx Talks;29;2017-12-13T16:00:27Z;https://i.ytimg.com/vi/erBJuxVR7IE/default.jpg;False;Every organ and even every cell in our body has circadian or 24 h clock. Circadian clocks turn on and off thousands of genes at the right time of the day or night.
1093;sKvMxZ284AA;"How &quot;SHE&quot; became an IAS officer  | Surabhi Gautam | TEDxRGPV";TEDx Talks;29;2017-11-10T16:57:33Z;https://i.ytimg.com/vi/sKvMxZ284AA/default.jpg;False;Surabhi Gautam was born in an orthodox village of Madhya Pradesh, where girl child had unequal rights. Years later she walks into the same village and the ...
1094;kGSbqGBNjF4;Beating Bitterness - Joel Osteen;Joel Osteen;29;2017-11-05T14:30:00Z;https://i.ytimg.com/vi/kGSbqGBNjF4/default.jpg;False;You can't stop life from happening to you, but you can choose how you respond. At the office, a coworker says something that offends you. It starts off as a little ...
1095;6NTM8gVauY0;Por los sueños se suspira, por las metas se trabaja. | Humberto Ramos | TEDxCuauhtémoc;TEDx Talks;29;2017-11-08T22:10:43Z;https://i.ytimg.com/vi/6NTM8gVauY0/default.jpg;False;Cuando tenía 4 años el Mexicano Humberto Ramos soñó con dibujar a Spiderman. Esto se convirtió en una meta en su vida, 30 años después nos cuenta todo ...
1096;64UG8fKymNQ;"L&#39;orgasme féminin : le mystère s&#39;éclaircit | Samuel Salama | TEDxNouméa";TEDx Talks;29;2017-12-13T18:19:43Z;https://i.ytimg.com/vi/64UG8fKymNQ/default.jpg;False;Le plaisir féminin est-il si compliqué qu'on l'imagine ? Pas si sûr. Samuel Salama est médecin gynécologue, obstétricien et sexologue. Et il a beaucoup à nous ...
1097;wDZgzsQh0Dw;Music Medicine: Sound At A Cellular Level | Dr. Lee Bartel | TEDxCollingwood;TEDx Talks;29;2017-11-09T15:33:17Z;https://i.ytimg.com/vi/wDZgzsQh0Dw/default.jpg;False;NOTE FROM TED: Please do not look to this talk for medical advice. This talk only represents the speaker's personal views and understanding of sound and ...
1098;XzPi29O6DAc;The Quantum Internet | Stephanie Wehner | TEDxVienna;TEDx Talks;29;2017-12-14T14:13:49Z;https://i.ytimg.com/vi/XzPi29O6DAc/default.jpg;False;The goal of a quantum internet is to connect quantum processors using long distance quantum communication. The internet has had a revolutionary impact on ...
1099;CYebJBcLZHA;In Disaster There is Opportunity - Finding a Path Through Paralysis | Martyn Ashton | TEDxBristol;TEDx Talks;29;2017-12-19T15:56:46Z;https://i.ytimg.com/vi/CYebJBcLZHA/default.jpg;False;Martyn explains the unbelievable challenge presented by a career ending injury, and how he used a unique approach to tackle it. “If I'm going to be paralysed, ...
1100;Cg-yH8iHNoI;"The Two You&#39;s - Joel Osteen";Joel Osteen;29;2017-12-10T13:30:00Z;https://i.ytimg.com/vi/Cg-yH8iHNoI/default.jpg;False;There's a battle constantly taking place on the inside between the two yous. The Scripture calls this the battle between the flesh and the spirit. We all face the ...
1101;mlt3o6dnGqA;Re-imagining Compulsive Skin Picking: Art for Recovery | Liz Atkin | TEDxRoyalCentralSchool;TEDx Talks;29;2017-11-10T21:18:01Z;https://i.ytimg.com/vi/mlt3o6dnGqA/default.jpg;False;Liz Atkin has a compulsive skin picking disorder. She tells her story, and encourages the world to see art as a tool for recovery. Liz Atkin is an internationally ...
1102;TCjnlVZznPE;Umudun Yarattığı Kurtuluş | Zülfü Livaneli | TEDxIstanbul;TEDx Talks;29;2017-12-12T16:59:15Z;https://i.ytimg.com/vi/TCjnlVZznPE/default.jpg;False;Yazarlığı ve müzisyenliğiyle tanınan Zülfü Livaneli konuşmasında, Mustafa Kemal Atatürk'ün doğumundan ölümüne kadar olan yaşamında, umudunu hiç ...
1103;SSH5EY-W5oM;"My descent into America&#39;s neo-Nazi movement &amp; how I got out | Christian Picciolini | TEDxMileHigh";TEDx Talks;29;2017-12-20T16:30:10Z;https://i.ytimg.com/vi/SSH5EY-W5oM/default.jpg;False;At 14-years-old, Christian Picciolini went from naive teenager to white supremacist, and soon, the leader of America's first neo-Nazi skinhead gang. How was he ...
1104;mu4Uki8VyLc;Sexual Conflict in Human Mating | David Buss | TEDxVienna;TEDx Talks;29;2017-11-14T22:30:49Z;https://i.ytimg.com/vi/mu4Uki8VyLc/default.jpg;False;If we all want love, why is there so much conflict on the mating market and in our most cherished relationships? Sexual conflict pervades the mating arena prior ...
1105;yN0PAl-czFI;"Black Panther&#39;s Royal Family Tree";Marvel Entertainment;24;2018-02-09T17:00:08Z;https://i.ytimg.com/vi/yN0PAl-czFI/default.jpg;False;Art by Khary Randolph Colors by Erick Arciniega Written & Produced by Lorraine Cink Voiced by Harmony Katulondi Edited by Brian Stieve Production ...
1106;oDVqT9pQjuM;"Marvel Studios&#39; Thor: Ragnarok -- Thor Meets The Grandmaster (Bonus Extended Scene)";Marvel Entertainment;24;2018-02-15T20:31:57Z;https://i.ytimg.com/vi/oDVqT9pQjuM/default.jpg;False;"It's main event time! Marvel Studios' ""Thor: Ragnarok"" comes loaded with bonus extras and more. Watch it tonight on Digital, Movies Anywhere, Blu-ray & 4K ..."
1107;GYbQtRWJ1IA;Marvel Future Fight -- Luna Snow Music Video (Full);Marvel Entertainment;24;2018-02-15T21:00:00Z;https://i.ytimg.com/vi/GYbQtRWJ1IA/default.jpg;False;Subscribe to Marvel: http://bit.ly/WeO3YJ Follow Marvel on Twitter: ‪https://twitter.com/marvel Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel For‬‬ ...
1108;em0ErGSjLB8;"Marvel Studios&#39; Thor: Ragnarok -- Director&#39;s Intro (Bonus Feature)";Marvel Entertainment;24;2018-02-20T17:01:02Z;https://i.ytimg.com/vi/em0ErGSjLB8/default.jpg;False;"You can see more bonus features when you bring home ""Thor: Ragnarok"" on Digital in HD and 4K Ultra HD™ and Movies Anywhere on today and 4K Ultra ..."
1109;2zoYldcx_x0;"Chadwick Boseman &amp; Lupita Nyong&#39;o at Marvel Studios&#39; Black Panther World Premiere Red Carpet";Marvel Entertainment;24;2018-01-30T20:00:00Z;https://i.ytimg.com/vi/2zoYldcx_x0/default.jpg;False;"Get tickets to see ""Black Panther"" now: www.fandango.com/blackpanther ▻ Subscribe to Marvel: http://bit.ly/WeO3YJ Follow Marvel on Twitter: ..."
1110;PgvFpg_YpO4;Top 10 Fastest Heroes;Marvel Entertainment;24;2018-01-30T19:00:01Z;https://i.ytimg.com/vi/PgvFpg_YpO4/default.jpg;False;Who are your Top 10 Fastest Super Heroes? Tell us in the comment section. Here are the Top 10 Fastest Heroes as ranked by the Marvel.com team! 10. Captain ...
1111;wEk-dI0YHEU;Marvel Studios 10 Years Sweepstakes!;Marvel Entertainment;24;2018-02-08T23:00:03Z;https://i.ytimg.com/vi/wEk-dI0YHEU/default.jpg;False;Join Marvel Studios yearlong 10th anniversary celebration & enter the Ultimate Fan sweepstakes for a chance to win a trip to the Avengers: Infinity War premiere, ...
1112;DsDVOt3M7OM;Breaking In - Official Trailer [HD];Universal Pictures;24;2018-01-11T19:00:19Z;https://i.ytimg.com/vi/DsDVOt3M7OM/default.jpg;False;This May, payback is a mother. #BreakingInMovie in theaters Mother's Day. -- Facebook: https://www.facebook.com/breakinginmovie/ Twitter: ...
